31_1	what is throat cancer
31_2	is it treatable
31_3	tell me about lung cancer
31_4	what are its symptoms
31_5	can it spread to the throat
31_6	what causes throat cancer
31_7	what is the first sign of it
31_8	is it the same as esophageal cancer
31_9	what's the difference in their symptoms
32_1	what are the different types of sharks
32_2	are sharks endangered if so which species
32_3	tell me more about tiger sharks
32_4	what is the largest ever to have lived on earth
32_5	what's the biggest ever caught
32_6	what about for great whites
32_7	tell me about makos
32_8	what are their adaptations
32_9	where do they live
32_10	what do they eat
32_11	how do they compare with tigers for being dangerous
33_1	tell me about the neverending story film
33_2	what is it about
33_3	how was it received
33_4	did it win any awards
33_5	was it a book first
33_6	who was the author and when what it published
33_7	what are the main themes
33_8	who are the main characters
34_1	tell me about the bronze age collapse
34_2	what is the evidence for it
34_3	what are some of the possible causes
34_4	who were the sea peoples
34_5	what was their role in it
34_6	what other factors led to a breakdown of trade
34_7	what about environmental factors
34_8	what empires survived
37_1	what was the stanford experiment
37_2	what did it show
37_3	tell me about the author of the experiment
37_4	was it ethical
37_5	what are other similar experiments
37_6	what happened in the milgram experiment
37_7	why was it important
37_8	what were the similarities and differences between the studies
40_1	what are the origins of popular music
40_2	what are its characteristics
40_3	what technological developments enabled it
40_4	when and why did people start taking pop seriously
40_5	how has it been integrated into music education
40_6	describe some of the influential pop bands
40_7	what makes a song pop punk
40_8	what is the difference between it and emo
49_1	how was netflix started
49_2	how did it originally work
49_3	what is its relationship with blockbuster
49_4	when did netflix shift from dvds to a streaming service
49_5	what are its other competitors
49_6	how does it compare to amazon prime video
49_7	describe it’s subscriber growth over time
49_8	how has it changed the way tv is watched
50_1	what was the first artificial satellite
50_2	what are the types of orbits
50_3	what are the important classes of satellite
50_4	how do navigation systems work
50_5	what is the galileo system and why is it important
50_6	why did it create tension with the us
50_7	what are cubesats
50_8	what are their advantages
54_1	what is worth seeing in washington d.c
54_2	which smithsonian museums are the most popular
54_3	why is the national air and space museum important
54_4	is the spy museum free
54_5	what is there to do in dc after the museums close
54_6	what is the best time to visit the reflecting pools
54_7	are there any famous foods
54_8	what is a dc half smoke
54_9	tell me about its history
56_1	what is darwin’s theory in a nutshell
56_2	how was it developed
56_3	how do sexual and asexual reproduction affect it
56_4	how can fossils be used to understand it
56_5	what is modern evidence for it
56_6	what is the impact on modern biology
56_7	compare and contrast microevolution and macroevolution
56_8	what is the relationship to speciation
58_1	what is a real time database
58_2	how does it differ from traditional ones
58_3	what are the advantages of real time processing
58_4	what are examples of important ones
58_5	what are important applications
58_6	what are important cloud options
58_7	tell me about the firebase db
58_8	how is it used in mobile apps
59_1	which weekend sports have the most injuries
59_2	what are the most common types of injuries
59_3	what is the acl
59_4	what is an injury for it
59_5	tell me about the rice method
59_6	is there disagreement about it
59_7	what is arnica used for
59_8	what are some ways to avoid injury
61_1	who are the avengers
61_2	tell me about their first appearance
61_3	who is the most powerful and why
61_4	what is the relationship of spider man to the team
61_5	why is batman not a member
61_6	what is an important team in the dc universe
61_7	tell me about the origins of the justice league
61_8	who are the important members
67_1	why is blood red
67_2	what are red blood cells
67_3	how are they created
67_4	how is oxygen transported
67_5	what is anemia
67_6	what are the symptoms
67_7	can it go away
67_8	what are its possible causes
67_9	how is it treated
67_10	what foods contain high levels of iron
67_11	what improves absorption
68_1	what is cuisine is emilia romagna famous for
68_2	tell me about cooking schools and classes
68_3	what are famous foods from the region
68_4	describe the traditional process for making balsamic vinegar
68_5	what is mortadella and where is it from
68_6	what’s the difference with bologna
68_7	where was parmesan cheese created
68_8	what is done with the whey after production
68_9	what are typical pasta dishes
68_10	what is the history of tagliatelle al ragu bolognese
68_11	what are its common variations
69_1	how do you sleep after jet lag
69_2	does melatonin help
69_3	how was it discovered
69_4	what are good sources in food
69_5	is melatonin bad for you
69_6	what are the side effects
69_7	why does it require a prescription in the uk
69_8	how can i increase my levels naturally
69_9	is it effective for treating insomnia
69_10	how about for anxiety
75_1	why do turkey and turkey share the same name
75_2	where are turkeys from
75_3	what was their importance in native cultures
75_4	when and how were they domesticated
75_5	can they fly
75_6	why did ben franklin want it to be the national symbol
75_8	why is it eaten on thanksgiving
77_1	what's the difference between soup and stew
77_2	is chilli a stew
77_3	how about goulash
77_4	what are popular ones in france
77_5	how is cassoulet made
77_6	tell me about feijoada and its significance
77_7	how is it similar or different from cassoulet
77_8	tell about bigos stew
78_1	what is the keto diet
78_2	why was it original developed
78_3	what is ketosis
78_4	what is paleo
78_5	what do they have in common
78_6	how are they different
78_7	what is intermittent fasting
78_8	how is it related to keto
79_1	what is taught in sociology
79_2	what is the main contribution of auguste comte
79_3	what is the role of positivism in it
79_4	what is herbert spencer known for
79_5	how is his work related to comte
79_6	what is the functionalist theory
79_7	what is its main criticism
79_8	how does it compare to conflict theory
79_9	what are modern examples of conflict theory