31_1	throat cancer
31_2	treatable throat cancer
31_3	tell lung cancer throat treatable
31_4	symptoms throat cancer treatable Tell lung
31_5	can spread throat cancer treatable Tell lung symptoms
31_6	causes throat cancer treatable Tell lung symptoms Can spread
31_7	the first sign of throat cancer treatable Tell about lung its symptoms Can spread to causes
31_8	same esophageal cancer throat treatable Tell lung symptoms Can spread causes first sign
31_9	difference symptoms throat cancer treatable Tell lung Can spread causes first sign same esophageal
32_1	different types sharks
32_2	sharks endangered so species different types
32_3	tell more tiger sharks different types endangered If so species
32_4	largest lived earth different types sharks endangered species Tell tiger
32_5	biggest caught different types sharks endangered species Tell tiger largest lived Earth
32_6	great whites different types sharks endangered If so species Tell more tiger largest ever lived Earth
32_7	tell makos different types sharks endangered species Tell tiger largest lived Earth biggest caught great whites
32_8	adaptations different types sharks endangered so species Tell more tiger largest ever lived Earth biggest
32_9	where live different types sharks endangered so species Tell more tiger largest ever lived Earth biggest
32_10	eat different types of sharks endangered species Tell about tiger largest lived on Earth biggest
32_11	tigers dangerous different types sharks species tiger largest Earth biggest great whites makos adaptations
33_1	tell neverending story film
33_2	Tell Neverending Story film
33_3	how received Tell Neverending Story film
33_4	win awards Tell Neverending Story film How received
33_5	book first Tell Neverending Story film How received win awards
33_6	author published Tell Neverending Story film received win awards book
33_7	main themes Tell Neverending Story film How received win awards book first author when published
33_8	main characters Tell Neverending Story film How received win awards book first author when published themes
34_1	tell bronze age collapse
34_2	evidence Tell Bronze Age collapse
34_3	of possible causes Tell about Bronze Age collapse evidence for
34_4	sea peoples Tell Bronze Age collapse evidence possible causes
34_5	role Tell Bronze Age collapse evidence possible causes Sea Peoples
34_6	other factors led breakdown trade
34_7	environmental factors Tell Bronze Age collapse evidence possible causes Sea Peoples role other led breakdown trade
34_8	empires survived Tell Bronze Age collapse evidence possible causes Sea Peoples role other factors led breakdown trade
37_1	stanford experiment
37_2	show Stanford Experiment
37_3	tell author experiment Stanford Experiment show
37_4	ethical Stanford Experiment show Tell author experiment
37_5	other similar experiments Stanford Experiment show Tell author experiment ethical
37_6	happened milgram experiment Stanford Experiment show Tell author ethical other similar experiments
37_7	why important Stanford Experiment show Tell author experiment ethical other similar experiments happened Milgram
37_8	similarities differences between studies
40_1	origins popular music
40_2	characteristics origins popular music
40_3	technological developments enabled origins popular music characteristics
40_4	people start taking pop origins popular music characteristics technological developments enabled
40_5	integrated music education origins popular characteristics technological developments enabled people start taking pop
40_6	pop bands origins music characteristics developments people education
40_7	makes pop punk origins music characteristics developments enabled When why people start taking seriously How integrated education Describe
40_8	difference emo origins popular music characteristics technological developments enabled people start taking pop integrated education Describe influential
49_1	netflix started
49_2	how originally work How Netflix started
49_3	relationship blockbuster Netflix started work
49_4	when netflix shift dvds streaming service
49_5	other competitors How Netflix started originally work relationship Blockbuster When shift DVDs streaming service
49_6	prime video Netflix relationship Blockbuster DVDs streaming service other competitors
49_7	describe ’s subscriber growth time
49_8	how changed way tv watched How Netflix started originally work relationship Blockbuster When shift DVDs streaming service other competitors
50_1	first artificial satellite
50_2	types orbits first artificial satellite
50_3	important classes satellite first artificial types orbits
50_4	navigation systems work
50_5	galileo system important first artificial satellite types orbits classes navigation systems work
50_6	create tension us first artificial satellite types orbits important classes navigation systems work Galileo system
50_7	cubesats first artificial satellite types orbits important classes How navigation systems work Galileo system why
50_8	advantages first artificial satellite types orbits important classes How navigation systems work Galileo system why
54_1	worth seeing washington d.c
54_2	smithsonian museums popular worth seeing Washington D.C.
54_3	why national air space museum important
54_4	spy museum free worth seeing Washington D.C. Smithsonian museums most popular Why National Air Space Museum important
54_5	dc museums worth seeing Washington D.C. Smithsonian popular National Air Space Museum important Spy free
54_6	best time visit reflecting pools worth seeing Washington D.C. Smithsonian museums popular National Air Space Museum important Spy free DC
54_7	famous foods worth seeing Washington D.C. Smithsonian museums most popular Why National Air Space Museum important Spy
54_8	dc half smoke
54_9	tell history worth seeing Washington D.C. Smithsonian museums popular National Air Space Museum important Spy free DC
56_1	darwin ’s theory in nutshell
56_2	how developed Darwin theory nutshell
56_3	sexual asexual reproduction affect Darwin theory nutshell developed
56_4	can fossils used understand Darwin theory nutshell developed sexual asexual reproduction affect
56_5	modern evidence for Darwin theory in nutshell How developed sexual asexual reproduction affect can fossils used understand
56_6	impact modern biology Darwin ’s theory nutshell How developed sexual asexual reproduction affect can fossils used to
56_7	compare contrast microevolution macroevolution
56_8	relationship speciation Darwin ’s theory nutshell developed sexual asexual reproduction affect can fossils used to understand modern
58_1	real time database
58_2	traditional ones real time database
58_3	advantages real time processing
58_4	examples important ones real time database How differ traditional advantages processing
58_5	important applications real time database differ traditional ones advantages processing examples
58_6	important cloud options real time database How differ traditional ones advantages processing examples applications
58_7	tell firebase real time database differ traditional ones advantages processing examples important applications cloud
58_8	mobile apps real time database traditional ones advantages processing examples important applications cloud options
59_1	weekend sports most injuries
59_2	most common types injuries weekend sports
59_3	acl weekend sports most injuries common types
59_4	injury weekend sports most injuries common types ACL
59_5	tell rice method weekend sports most injuries common types ACL injury
59_6	disagreement weekend sports most injuries common types ACL injury Tell RICE method
59_7	arnica used weekend sports injuries types ACL injury Tell RICE method
59_8	ways avoid injury weekend sports most injuries common types ACL Tell RICE method disagreement arnica used
61_1	avengers
61_2	tell first appearance Avengers
61_3	most powerful why Avengers Tell first appearance
61_4	relationship spider man team
61_5	batman member Avengers Tell first appearance powerful relationship Spider Man team
61_6	important team in dc universe
61_7	tell origins justice league
61_8	important members Avengers Tell first appearance most powerful why relationship Spider Man team Why Batman member DC
67_1	blood red
67_2	red blood cells Why
67_3	how created Why blood red cells
67_4	oxygen transported blood red cells created
67_5	anemia Why blood red cells How created oxygen transported
67_6	symptoms Why blood red cells How created oxygen transported anemia
67_7	can go away Why blood red cells How created oxygen transported anemia symptoms
67_8	possible causes Why blood red cells How created oxygen transported anemia symptoms Can go away
67_9	how treated Why blood red cells How created oxygen transported anemia symptoms Can go away
67_10	foods contain high levels iron
67_11	improves absorption blood red cells created oxygen transported anemia symptoms Can go possible causes treated foods
68_1	cuisine emilia romagna famous
68_2	tell cooking schools classes
68_3	famous foods region cuisine Emilia Romagna Tell cooking schools classes
68_4	describe traditional process making balsamic vinegar
68_5	mortadella where cuisine Emilia Romagna famous Tell cooking schools classes foods region Describe traditional process making balsamic
68_6	’s difference bologna cuisine Emilia Romagna famous Tell cooking schools classes foods region Describe traditional process making balsamic
68_7	parmesan cheese created cuisine Emilia Romagna famous Tell cooking schools classes foods region Describe traditional process making balsamic
68_8	done whey production cuisine Emilia Romagna famous Tell cooking schools classes foods region Describe traditional process making balsamic
68_9	typical pasta dishes cuisine Emilia Romagna famous Tell cooking schools classes foods region Describe traditional process making balsamic
68_10	history of tagliatelle al ragu bolognese
68_11	common variations cuisine Emilia Romagna famous Tell cooking schools classes foods region Describe traditional process making balsamic
69_1	how sleep jet lag
69_2	melatonin help How sleep jet lag
69_3	how discovered How sleep jet lag melatonin help
69_4	good sources food How sleep jet lag melatonin help discovered
69_5	melatonin bad for How sleep after jet lag help discovered good sources in food
69_6	side effects How sleep jet lag melatonin help discovered good sources food bad
69_7	require prescription uk sleep jet lag melatonin help discovered good sources food bad side effects
69_8	can increase levels sleep jet lag melatonin help discovered good sources food bad side effects require prescription UK
69_9	effective treating insomnia sleep jet lag melatonin help discovered good sources food bad side effects require prescription UK
69_10	anxiety sleep jet lag melatonin help discovered good sources food bad side effects require prescription UK
75_1	turkey turkey share same name
75_2	where turkeys Why turkey Turkey share same name
75_3	importance native cultures Why turkey Turkey share same name Where turkeys
75_4	when how domesticated Why turkey Turkey share same name Where turkeys importance native cultures
75_5	can fly Why turkey Turkey share same name Where turkeys importance native cultures When how domesticated
75_6	ben franklin want national symbol
75_8	eaten thanksgiving turkey Turkey share same name turkeys importance native cultures domesticated Can fly Ben Franklin want
77_1	difference soup stew
77_2	chilli stew difference soup
77_3	goulash difference soup stew chilli
77_4	popular ones in france difference between soup stew chilli How about goulash
77_5	how cassoulet made difference soup stew chilli How goulash popular ones France
77_6	tell feijoada significance difference soup stew chilli goulash popular ones France cassoulet made
77_7	how similar different cassoulet difference soup stew chilli How goulash popular ones France made Tell feijoada significance
77_8	tell bigos stew difference soup chilli How goulash popular ones France cassoulet made Tell feijoada significance similar
78_1	keto diet
78_2	why original developed keto diet
78_3	ketosis keto diet Why original developed
78_4	paleo keto diet Why original developed ketosis
78_5	common keto diet Why original developed ketosis paleo
78_6	how different keto diet Why original developed ketosis paleo common
78_7	intermittent fasting keto diet original developed ketosis paleo common different
78_8	how related keto diet Why original developed ketosis paleo common How different intermittent fasting
79_1	taught sociology
79_2	main contribution of auguste comte
79_3	role positivism taught sociology main contribution Auguste Comte
79_4	herbert spencer known taught sociology main contribution Auguste Comte role positivism
79_5	how work related comte taught sociology main contribution Auguste Comte role positivism Herbert Spencer known
79_6	functionalist theory taught sociology main contribution Auguste Comte role positivism Herbert Spencer known How work related
79_7	main criticism taught sociology contribution Auguste Comte role positivism Herbert Spencer known How work related functionalist theory
79_8	compare conflict theory taught sociology main contribution Auguste Comte role positivism Herbert Spencer known work related functionalist
79_9	modern examples conflict theory